Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Sim.Device,Sim.Pins,Sim.Pin
"C1, C12, C2, C24, C29, C7, C9",7,22u 50V,CP_Radial_D5.0mm_P2.00mm,,,,tht,"[C7,C9]Unpolarized capacitor; [C24,C29]Polarized capacitor",,,
C10,1,10p,C_Disc_D10.5mm_W5.0mm_P7.50mm_TC,,,,tht,Unpolarized capacitor,,,
C11,1,3.3n,C_Rect_L16.5mm_W6.0mm_P15.00mm_MKT_TC,,,,tht,Unpolarized capacitor,,,
C13,1,10n,C_Rect_L11.0mm_W5.1mm_P10.00mm_MKT_TC,,,,tht,Unpolarized capacitor,,,
"C14, C19, C8",3,22n,C_Axial_L17.0mm_D6.5mm_P20.00mm_Horizontal_TC,,,,tht,Unpolarized capacitor,,,
"C15, C17",2,22n,C_Rect_L11.0mm_W5.1mm_P10.00mm_MKT_TC,,,,tht,Unpolarized capacitor,,,
"C18, C23, C25",3,22u 450V,CP_Radial_D12.5mm_P5.00mm,,,,tht,Polarized capacitor,,,
"C20, C21",2,47n,C_Axial_L19.0mm_D7.5mm_P25.00mm_Horizontal_TC,,,,tht,Unpolarized capacitor,,,
"C22, C4",2,100n,C_Axial_L22.0mm_D10.5mm_P27.50mm_Horizontal_TC,,,,tht,Unpolarized capacitor,,,
C27,1,100-470p,C_Disc_D10.5mm_W5.0mm_P7.50mm_TC,,,,tht,Unpolarized capacitor,,,
C3,1,250p,C_Disc_D10.5mm_W5.0mm_P7.50mm_TC,,,,tht,Unpolarized capacitor,,,
C5,1,47n,C_Axial_L17.0mm_D6.5mm_P20.00mm_Horizontal_TC,,,,tht,Unpolarized capacitor,,,
C6,1,470p,C_Disc_D7.5mm_W5.0mm_P7.50mm_TC,,,,tht,Unpolarized capacitor,,,
D1,1,UF4007,D_DO-41_SOD81_P7.62mm_Horizontal,,,,tht,Diode,D,1=K 2=A,
